,label_ind,label,text
43,6,worry,why do i have the feeling i should be packing and hitting for sfo around this time of the year i think i am missing something
44,8,empty,creyes middle school and elem high schools will remain open for those who need credits to graduate cali is broken
45,6,worry,bed its time hope i go to school tomorrow all though i do not feel very well right now
46,6,worry,onscrn ahh well i was hoping that i could learn some stuff on the way why not you and i work on separate things but also
47,10,sadness,i am having a problem with my photo here in twitter amfcan not see my face
48,7,neutral,jakeboyd oh noooo if i blow a tire you are reaaaally going to have to send up some batman smoke
49,7,neutral,wnna take a bath
50,7,neutral,chocolate milk is so much better through a straw i lack said straw
51,6,worry,why am i so tired
52,8,empty,djmicdamn hey yu lil fucker i textd yu
53,7,neutral,mennard time diff and i have just been wrapped up in day to day stuff so i havent been tweeting talk soonmust sleepup in 6hrs
54,7,neutral,benballer no way damn that sucks b are you ok
55,6,worry,sucks not being able to take days off of work or have the money to take the trip so sad
56,2,enthusiasm,bedsorta today was good sara has strep thought angelina does to i shared a water with her b4 they told me i will prob get it to
57,7,neutral,ramtops the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but we will cope
58,7,neutral,lostluna but i got dibs on sulu
59,10,sadness,maternitytees aww onward and upwards now yay still sad to leave i bet
60,6,worry,itsgabbith at once haha poor aby still gets sore
61,10,sadness,diesel yaris 70mpg so sad its not available in the us that had be awesome
62,10,sadness,i want to buy this great album but unfortunately i dont hav enuff funds its quotlong time noisyquot
63,10,sadness,pokinatcha in all honestypain blech
64,10,sadness,ok the passengers no one is alive they are all dead you just do not know it til the end then you cry
65,7,neutral,at home alone with not much to do
66,6,worry,davidcooklove ia so much i have not really been happy with any of cooks choices for singles
67,10,sadness,vincew stefanyngo i fell asleep on the beach and did not put on enough sunscreen lol
68,6,worry,so i think my son might have the flu cause i def just cleaned up a stanky puke mess poor pumkpin
69,3,happiness,so great to see oin amp cynthia so happy dinner was great cute little place too bad oin got sick afterwards
70,7,neutral,i cant give jertronic any bday nudges
71,6,worry,and all woman who transfer their first impressions sexualmaternal onto a less threatening man are themselves as weak as him
72,7,neutral,brothers bloom will not be opening this weekend in el paso i will just buy brick and enjoy that until i can watch brothers bloom
73,7,neutral,says i miss plurking httpplurkcompwxion
74,6,worry,bitten to blood by my cat on my way for a rabies bacterin seems 7 shots for 2 months never wash my cats at home again they hate water
75,7,neutral,i miss voobys
76,7,neutral,dancingmonk neither are elp
77,3,happiness,havingmysay dude that is my favorite sandwich place ever ummm did you take pictures
78,6,worry,is sad that shin ae got marriedand it was not to alex
79,6,worry,shondarhimes sure you will tweet about this when you are back but news is abuzz about tr knights leaving quotconfirmedquot today muy triste
80,10,sadness,rachellock22 ohh thursday i have exams all day what about wednesday
81,7,neutral,there was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow 9am
82,10,sadness,gcrush nopantsdance i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go
83,6,worry,goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now
84,10,sadness,artfuldodga i love those it isakey usb sticks we only have the 4gb in australia
85,6,worry,fresh prince and sleepy sleeps my nightly routine gotta go to dmv early tmrw
86,0,hate,dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i can not watch and code
87,6,worry,emmarler i am jealous of your mom talking to taylorswift13 i want to see you all our twittering is making me miss you
88,6,worry,i can not sleepi keep thinking about the puppy i played with today
89,6,worry,i am suppposed to be sleep but i got some much to do amp i got that one part of the song stuck in my head quotyour a jerk iknowquot blaahh
90,7,neutral,lepetitagneau what is going on sweetheart
91,7,neutral,how can it be so freaking difficult to get a systemwide spellchecker shit i would settle for an office suite one stupid unhelpful windows
92,6,worry,last one month due to summer strawberry is not availble in the chennai markets
93,7,neutral,willxxmobb work at 6am gotta go to bed soon
94,12,love,robertf3 correct i adore him i just plucked him up and put him under my arm cuz he was cryin all better now hahaha
95,10,sadness,sweeetnspicy hiii im on my ipodi cant fall asleep
96,10,sadness,dont wanna work 11830 tomorrow but i get paid
97,10,sadness,feels sad coz i wasnt able to play with the guys httpplurkcompwxiux
98,7,neutral,princecharming
99,0,hate,cayogial i wanted to come to bz this summer not so sure anymore a teachers life in the summer sucks
100,6,worry,first ever dropped call on my mobile on a call to telstra no less being charged for data even though i have a data pack
101,0,hate,mrgenius23 you win sigh rakeem
102,7,neutral,oh is that time for real
103,10,sadness,darn these allergies i do not like this time of year because of this i never used to have this problem either
104,6,worry,oh no one minute too late oh well
105,0,hate,sovietstar damn that sucks
106,10,sadness,cayogial i wanted to come to bz this summer not so sure anymore a teachers life in the summer sucks
107,0,hate,mileycyrus this website gave me a virus when i opened it more windows kept popping up
108,6,worry,ahh big scary bug flying around my room
109,10,sadness,i wish she knew what she puts me throughshe stole my heart never gave it backand occasionally she likes to be like look what i have
110,6,worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
111,7,neutral,justamedicine that was stone cold crazy
112,4,boredom,i am so tired
113,7,neutral,shift time bbye biochem waaaaahhhhhh httpplurkcompwxizo
114,7,neutral,melbournegirl i am sure some1 will cum out and play i am workin through til midnight
115,7,neutral,thecreativeone i second that i wish it rained more where i am
116,10,sadness,neesabear early happy day of birth in case i do not make it very tired from therapy today n just taking my medicine misshu love ya
117,7,neutral,damn it were is eric or anyone else when you need your hair to be played with
118,7,neutral,i am feel deflated ugh no more dog
119,10,sadness,allergies suck ducks nuts lt88gt
120,7,neutral,well it almost was a good day guess i just retry tomorrow
121,0,hate,iamyete waraku is tasteless and expensive portion is so little re waraku
122,12,love,freepbx sounds good appreciate the suggestion been a week now and we are still offline time to ask for a refund
123,6,worry,poinktoinkdoink he died wait what about magic jack i just read it
124,0,hate,britblackbird youstinkatrespondingtotexts
125,10,sadness,wonders why her karma points turned into 000 httpplurkcompwxj54
126,3,happiness,need to pack for cali cali cannot waittt thinking a glass of wine is in order to celebrate my weekend vaca still work 2morrow tho
127,10,sadness,is miserable i feel like im gona cry sux
128,7,neutral,megturney well i ran out of beer so i left not sure about the eta waiting waiting waiting bleh gonna be a long nite methinks
129,6,worry,my nose stud fell out and i can not find it looks like i will have to head into amsterdam today and get a new one
130,7,neutral,claire breakfastnt love the show got into the office 5am and no radio
131,12,love,pats in philly at 2 am i love it mmm cheesesteak miss my boyfriend but i love vacation
132,10,sadness,sigh i am going to bed i just do not feel right anymore
133,7,neutral,what i focused on tom so much i did not see my beloved barack oh no i must vote for both poor president only has 626 votes
134,7,neutral,jwillock epicentre wheelock place tourists only
135,10,sadness,now i am depressed after watching so you think you can dance
136,10,sadness,just crossbecause i am stuck twiddling my thumbs now ugh
137,7,neutral,miss 16th
138,7,neutral,theharvardian i know but like i said i have no idea how long it takes for them to investigate this stuff
139,6,worry,i cant sleep but im too sore to move
140,7,neutral,lafloozita httptwitpiccom4phze awe i miss my baby
141,8,empty,softtouchme just answered you never learned how to write in french just basic stuff
142,7,neutral,what is it with chocolates i just can never say no
143,6,worry,achieving a new appreciation on how a xml build script can really be painful and cumbersome
144,7,neutral,etherradio i am too awake now ill have a nap this afternoon
145,6,worry,omfgiselle i cant do anything
146,7,neutral,still needs another 6 hours of sleep
147,5,relief,i am at work
148,1,fun,rip leonardo you were a great mini fiddler crab
149,7,neutral,morning tweepleway to early again
150,10,sadness,last day working for the uni today sad times
151,12,love,nisforneemah thanks neemah i am gonna be soooo close to you and izzy yet so far
152,6,worry,my head hurts so bad i could scream
153,6,worry,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain
154,6,worry,new work wellness challenge not going well i committed to not check email between 10 pm and 6 am failed on first day twice
155,6,worry,new blog post blog auto insuran i just found that my auto insurance policy had been expired i am too careless meanw
156,7,neutral,where are all ma bestfriends at mia or wat
157,6,worry,oh meni really can not see my facecmon guys
158,6,worry,i am showing my age renewed my tags last week went down 20 got my insurance renewal email today went down 100 i do not wanna be old
159,6,worry,my sole supporter is not my sole supporter
160,0,hate,do not you hate it when you finish all your work and there is still 125 hours left of work time
161,6,worry,emilyyy16 urgh stop it guys
162,10,sadness,is still missing her husband i really want him home
163,10,sadness,i miss my puppy
164,9,surprise,2 days of this month left and i only have 400mb left on my onpeak downloads
165,1,fun,idlethumbs up is out i did not get the memo it looks amazing
166,10,sadness,nzdeany i have given up on pizza kids would never let me have my fav the hot ones
167,6,worry,up reading tabloids about other peoples livesthinking what i am gonna do with mine when my baby leaves
168,10,sadness,barbschaefer yearling in pet home died very sad for their whole family
169,7,neutral,fun in the sun hmmm hell no it is cold
170,6,worry,i got a giant splinter stuck up underneath my finger nail today at muppetsit hurt but i got to go to first aid for the first time
171,10,sadness,heresmyhello92 we hate change so of course we are fans for life lt3 oh and if we have not met rob by then something went horribly wrong
172,6,worry,is feeling sad for some reason httpplurkcompwxji3
173,10,sadness,well fuck this new pain med has an odd warning that actually applies to me i can not take this chan is displeased
174,10,sadness,just uploaded my new blog a painful story about an 80s year old man who cried because he wanted to die very sad
175,7,neutral,juneyee i do not think so i want details
176,7,neutral,jackgraycnn hi who is mary poppins
177,6,worry,jaychuck its so addicting but its kind of a curse to do them at night time everytime i do one i feel like making music afterwards
178,7,neutral,my last tweet did not send bad phone
179,1,fun,relly1 omg ur alive lol 2day has gone sooo slow i am going insane grrr you doing anything tonight
180,8,empty,have a headache i am going to bed goodnight
181,7,neutral,taxidermi i was watching parental control
182,1,fun,jessijaejoplin did you get them from california vintage ahahah they have the best dresses i want them but i dont have ebay
183,10,sadness,i just saw pics from this past thanksgiving and am sad because grandma was in them
184,6,worry,jertronic it wont let me
185,10,sadness,took a shift tomorrow i do not really feel like working right now
186,10,sadness,but now i have no money for a phone
187,6,worry,spent last night in aampe er wife tangled wheels with daughter amp hit the deck dislocation amp fracture resulted
188,6,worry,thelastdoctor 9 days i am about ready to visit torchwood and see if they have heard anything
189,9,surprise,bernmorley where are you in bris i can not hear any thunder
190,9,surprise,bec vs fat food winner fat food but not this weeknend ill beat it
191,10,sadness,too bad the red devils disappointing to say the least
192,9,surprise,i had a dream about a pretty pretty beach and there was no beach when i woke up
193,10,sadness,xdjio have a 3ware 9650se not fast enough for 3x x25m ssd raid5 800mhz iop on the hpt might try an adaptec 5405 12ghz
194,9,surprise,when da heck will the garage man get here i ask you when
195,6,worry,ate mandy please forgive me i really am sorry i do not wanna lose my bff
196,0,hate,melluffsyew umm yeah that is probably a pretty good note to self because eeeeeewwwwwwww
197,6,worry,why are plane tickets so expensive
198,1,fun,wendyisastar melluffsyew umm yeah that is probably a pretty good note to self because eeeeeewwwwwwww
199,6,worry,needs a job badly
200,10,sadness,alexandergwhite daaammmnnnnn i do wish i was there
201,6,worry,went to di bella coffee roasters today and asked for a job the person i needed to speak to is on holiday fb
202,10,sadness,yukihime i played up until the latter parts of the voodoo village part coop until i lost my usual partner
203,8,empty,dymediva23 nite now i am up n bored as opposed to almost sleep frm b 4
204,10,sadness,is a bad friend
205,7,neutral,rlcpbiatch happy birthdayyy hope you have an awesome day did not see you at next last night
206,0,hate,sparkdawgmusic im doing that shit right now im on vacation and you got me workin
207,7,neutral,aiderushton ill be over in an oir
208,7,neutral,only1kcj guess its a no go girlie i am still at the gym and work at 630am
209,0,hate,would wish the severe migrains would stop docs prescriptions arent working
210,12,love,bobbyedner i missed the game
211,10,sadness,moggy99 no internet last night er was brill there was a massive explosion at the end of a nearby gas works er on standby
212,0,hate,tiffalo cuz airlines are super lame
213,10,sadness,lenje still a pity it comes with no lamb though
214,10,sadness,bloomsday16 i am sorry to hear that here is my optimist things will get better for all of us
215,5,relief,is done painting all the bedroom furniture i still have to do the table but it will wait until after the move uggh moving in the heat
216,0,hate,i am so very tiredand have insomnia
217,7,neutral,juiceegapeach a hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down
218,7,neutral,yelgiuqnayr airport and you didnt show up tonight homo
219,0,hate,i hate bakersfield and i hate the ports let me go home already i want to start my vacation
220,7,neutral,mrrathbone what about me
221,7,neutral,looking for desktop twitter app that will actually let you access urls any suggestions i liked twittle but no linking
222,6,worry,people in my house do not know how to close doors
223,9,surprise,why am i completing facebook quizzes at this time of the morning especially a friday morning
224,7,neutral,out with lizzziemonster amp jamiejamess i am soooo hungry
225,6,worry,munchkinhugs i do not like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death
226,10,sadness,had to cancel wow for now
227,6,worry,wants to make a music profile but i do not have money i do not know how to write music i do not know how to play an instrument and no studio
228,10,sadness,fairyfroggie but yeahi am sad about my quotravenclawquot account i love that account to bits
229,6,worry,it is 115 am and i hear a helicopter flying over my house that is kind of weird in other news my headache is back booooo
230,6,worry,sugar oh no i am always here lt3
231,7,neutral,back from school ms suhanas last day as our ft ocu was okay i am playing altnoy over and over again
232,7,neutral,poll was trying to get it to work in a powerpoint to no avail
233,3,happiness,took a math test today the day before the test the teacher says bring your calculator luke was confident teacher decided no calcs
234,3,happiness,omg the concert was awesome madrigals gave me chills on almost every piecebrooks also called up alumni but i didnt get to go
235,7,neutral,livestrongnj yeah it is terrible cockatoos are the hardest to live with so emotional good thing he found you though
236,10,sadness,up late with nothin 2 do
237,6,worry,i think the vog is making me sicker than i think feeling slightly achy
238,8,empty,thetombert i was watching harpers island lol there was no vodka involved
239,6,worry,i am doing homework it sux big time maths is the worst
240,7,neutral,nymo would have been better imo if it let you play through all 3 songs provided i just start to quotget itquot and it blacks out
241,7,neutral,3wordsaftersex it never started
242,10,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
243,6,worry,i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they did not
244,8,empty,tarng trudys off burnetthe one up north that no one goes to
245,10,sadness,kateisbored i feel the same way but i guess no matter where you are there will always be memes
246,3,happiness,i cant do 30 minutes of treadmill but done 30 minutes for today already gonna do 20 minutes more
247,6,worry,i am sooooooooooooo confused
248,7,neutral,with friends like vaikonedumaran ltte did not need enemies wrong advice at wrong time led to numerous deaths amp a lost cause as well
249,6,worry,work day 7 of 7
250,3,happiness,chillin with the roomies can not wait for the zombie clwn cr its gonna be 68 weeks
251,7,neutral,i looove guitars and playing them i think they sound magnificent if only i was better if only
252,6,worry,superjerry no refunds but they do retrieve accounts takes like a week just hoping the thief does not use hacks or then it is permaban
253,7,neutral,mysticnz no im not cries lol
254,10,sadness,cute malay girl came to seemy room for rent sadly think it was for her guyfreind bit misleading and disappointing lol
255,9,surprise,gurlstrange epicentre wheelock place 250 units amp for tourists only starting today
256,0,hate,i hate the new mt dew commercialthe one with a giant mosquitoit scares me and grosses me out all at the same time
257,7,neutral,come on knight it is been well over 4 hours
258,6,worry,not super keen on the drive home through the rain additional concentration required that i do not really wanna deal with
259,9,surprise,foxxfiles aw u can not let me in on the secret
260,9,surprise,freshypanda im sorry i do not think i stick out at least compared to what i used to look like
261,6,worry,no transport for church wont be making it im crushed oh well more time for assignments i suppose my throat really hurts
262,0,hate,i hate when i see pregnant women smokinggg its sooo irresponsible n selfish its saaad ultimately the baby is the one who suffers
263,0,hate,liesliesliesyou just cant avoid to lie about practicallyeverything
264,7,neutral,twittascope is not rocking my socks go away already
265,7,neutral,driving back home because i forgot the piece of cake for vera
266,6,worry,seemouserun so i tried jumping without the trampoline and its like thud thud should not have eaten that cookie httpmylocme1xiz
267,10,sadness,everytime i send an email to my coach i feel a need to practice shitty balls lol
268,10,sadness,it is pissing me off and not letting me follow ericka
269,10,sadness,is going to sleep not peaceful wanted to hear him say good night but that did not happen good night everyone
270,10,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried
271,7,neutral,koifusionpdx i was so close to the tacosone spot too late
272,8,empty,mszrockstar umm how bout emaint get 2 see da game but i see dey survived anotha game of da series due to notin but lebron im guessin
273,9,surprise,is thinking so much and i am at work
274,6,worry,i have forgot the live with the jonas brothers on facebook
275,10,sadness,i have not seen muffin in two whole days
276,10,sadness,yumifujii i will miss you all back give lesleyboudy my regards
277,9,surprise,my gap year is going so quick
278,6,worry,i have to admit i am a bit bummed out that i was not with my friends walking today
279,7,neutral,jennyvokals girl a blunt is soooooooo in my thoughts right now i had an absolutly great day with a few stressorscome home
280,6,worry,my twitter has been hacked again
281,10,sadness,just found mj mouse flats at djs of course there are none left in my size
282,7,neutral,passingcarss i wont have time to buy and i need a new binder pa
283,0,hate,lanacaitlin hahaha well its try its so ugly
284,7,neutral,25man ulduar is hard
285,6,worry,jmoriarty i do not even want to know why you know about vhemt but do not go we would miss you
286,1,fun,ooochelcyooo that is awesome we have that this weekend too but i can not go because i am moving this sat i should be a lot of fun though
287,7,neutral,night night twitter world still cant believe the thomas thing tomorrows gunna be funsad
288,7,neutral,princessoats this is happening to me too
289,9,surprise,qitah oh no hugs
290,7,neutral,oxygen8705 bored now because i was talking to someone but now they are busy with something else just kinda a bummer idk
291,10,sadness,xoshayzers i knoww things will not be the samee lt3
292,6,worry,omgness it is 1118 pm and i need to beup early to set up my garage sale it starts a 8am wish i said 9am i am beat
293,3,happiness,vinylvickxen i kno i doooo yall partyin with out me
294,6,worry,okay so twitter suddenly changed how do i respond to messages now
295,7,neutral,ugh my dad just told me to read an article about kavya shivashankar the spellin bee girland be more like her
296,6,worry,decided that no matter how good my hair looks curly it does not justify the burn i get from the curler my hands covered i suck at it
297,10,sadness,going to sleep gonna fall asleep playing apps again tmrw is going to suck
298,7,neutral,thabillcollecta yea i gotta be up at 730
299,0,hate,i hate when my bf beats da dogs but i guess that the only way to teach these pitts
300,6,worry,sprained my ankle like really badly and tore some stuffs it hurts and its my birthday weekend
301,10,sadness,i can not believe the metal gear solid song was stolen i am so disappointed httpbitlyykksu
302,0,hate,think i may have broke a toe at the bar tonightthanks drunk girl for steppin all over me
303,7,neutral,not one sale done today at work explored balconies in the big theater w coworkers a fun day but void of chili fries and tips
304,10,sadness,maczombierawr i wish i had left 4 dead but first i would need something to play it on
305,7,neutral,sillybabyjulie me too
306,7,neutral,digenis that story reminds of living in portugal
307,7,neutral,jhicks youre diabetic so is my dad amp i might be too not sure are you still allowed to eat sugar throughout the day
308,3,happiness,i spilled my beer all over my leg wasted half my beer home now i met a cute girl good conversation
309,0,hate,my roommate tesstickle loves to ignore me
310,7,neutral,superfiasco i will make him nachos tomorrow better than if he would have made them himself
311,7,neutral,mydailyroutine yeahhh ampdont judge my pillow
312,5,relief,scary lightning and thunder i am glad it is over now going to sleep i hope i am not late to school tomorow again haha
313,10,sadness,my teeth and head hurts
314,10,sadness,i hate rob zombie movies amp the smell of weed vommmm
315,0,hate,jcwentz maths and science were the strongest for me i thinkdunno bout geography only did like 1 day of study for 12 a year of work
316,4,boredom,waiting in line tryst
317,6,worry,hope i get a job cuz we need an apartment i am drunk amp miss my lil punkin tehe
318,6,worry,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover
319,6,worry,i need to be held gnite
320,6,worry,hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops dang car accidents
321,10,sadness,no more arrested development i am sad
322,7,neutral,gigglesxo wicked what time you leaving how come you cant stay the night
323,10,sadness,omg i keep losing followers this is so sad i want 90 one daythats my goal d
324,10,sadness,i feel so deflated no more doggy
325,6,worry,bloodrain i wanna see her hair hows everyone
326,10,sadness,i just had to empty my trash on the mac that was one of the most difficult things i have ever done in my life 8000 pictures are gone
327,10,sadness,im contacting paws philippines so i can find quottigerquot a new owner im so sad i love my dog soo much
328,10,sadness,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to be over
329,6,worry,aww pray for the arroyo family everyone
330,7,neutral,thebabsi there is a manual process but it is taking 4ever on my outlook database pffff crappy msft product
331,10,sadness,fuuudge movie store is closed
332,10,sadness,alo is so sad and quiet and empty tonight
333,0,hate,meganmansyn hahahaha it is not horrible if others were singing with i am sure it could work i wish i could afford my own drum set
334,6,worry,wuzzyangel you never answered your dm i sent you i need your info
335,6,worry,am trying to get through the pilot of the first season of friday night lights oh gosh pass the tissue
336,10,sadness,mona26 aw where are you headed to i just cancelled my trip to aussie
337,6,worry,i have cystic lacrimal infectection my eye and face are swollen and it hurts
338,6,worry,jose3030 i did not think anyone caught that
339,8,empty,i need to be sleeping but i am not even tired
340,8,empty,0
341,7,neutral,oh nevermind i think this thing is unsalvageable
342,7,neutral,lyin in bed up faaaaar too early
343,10,sadness,sad that christian lacroix had to file bankruptcy
344,10,sadness,i dont feel good at all fuckkk
345,4,boredom,why did i agree to work a double shift
346,6,worry,looks like i will never go to the zoo
347,6,worry,djvinceadams ohh poor girl i will email her i am relying on you being here in october mr
348,7,neutral,when will medhurst play again
349,6,worry,moss1982 bad times
350,0,hate,aarrgghh fuka hose has leaked water all over the new floating floor
351,10,sadness,have to go to the dreaded dmv tomorrow
352,7,neutral,duncm i am a bit bens thaied out
353,3,happiness,english class working on interactive orals
354,6,worry,sharonhayes thank you for the rec but that does not work
355,7,neutral,dmoneymania i am sorry excited for tomorrow night karaoke getting anything special for bday
356,6,worry,my puppy gizmo h8s me haha he still growls me i always look back my long pruple scar on my fingie
357,6,worry,i do not know how ima work out tomorrow wit my body dis sore ugh
358,7,neutral,in 711 wo you
359,7,neutral,becjee yeah plus it is just a little too far to walk to pinocchios for sushi
360,6,worry,i am feeling this pressure in my head that always kicks in just before a nasty headache i am not looking forward to this
361,10,sadness,taylor swift and joe jonas looked really good together i am kinda sad they broke up
362,6,worry,i am suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts
363,6,worry,lady across the way had a miscarriage say a prayer
364,10,sadness,god i just want to sleep
365,0,hate,ksutt11 ohhhh thunderstormsboo why do they always have to make the power go out
366,6,worry,i feel so deflated no more doggy
367,10,sadness,found my book starting a real paperbound journal tonight have an annoying zit above my lip makes me look like i have herpes
368,0,hate,ratt rocked nashville toniteone thing sucked no encore like in the 80s they still have a fun show pearcy has that hott bad boy look
369,6,worry,is feeling bad just got bad news about my mum
370,10,sadness,realblackwidow but but i dun wanna
371,10,sadness,imjustlalayone damn girl i am so down but ya gotta let me know so i can get my kit together amp i got a flyer any next weekend iquotm down
372,10,sadness,justinodom dbl booooooo for being sick flippin blows bahaha i kno i dont have many friends on here either i feel so lame haha
373,7,neutral,brettyrocks thats what i was thinking but the only time it is gonna be on is 1 am
374,7,neutral,peeps still here fun times gotta sleep tho work in the am some cool hot chicks here but none as cool as missing her
375,6,worry,do not feel like working i think i tweet this too often
376,10,sadness,feels sick to my stomach and idkk whyy
377,6,worry,vinerinimic special sau probabil un alt weekend pierdut
378,7,neutral,counting the hours of lost sunshine until the weekend
379,9,surprise,justintevya dude i just saw your sf pics looks like your mini excursion was pretty kick ass did not see any sun while i was there tho
380,5,relief,is home safely but hungry
381,10,sadness,hellojodie um i was thrown from jarewolfs van yesterday and had to be taken to the er
382,6,worry,got to final table butwent out third do not think i will be getting my free seat
383,7,neutral,good morning work this morning gutted lol nevermind
384,0,hate,i have to work in the morning while my friends get to party it upstupid bberry lite flashing red and i have no messages
385,3,happiness,fb is boring and i wanna sing right now
386,10,sadness,judyrey the link does not work
387,7,neutral,deedubau hahaha i do not know anyone or anything about it except they have powers lol i live in my own bubble
388,6,worry,the humpalow um ya i think so cell is dying
389,6,worry,last day at worksick to the bone
390,6,worry,i feel like i am on house arrest
391,7,neutral,love is like a wareasy to begin hard to endfiuuhh
392,9,surprise,heavenjones ur supposed to be in bk tho
393,6,worry,cosmiclagoon did you know that there is a shortage of shells for crabs to use on the beach due to beach combers it is very sad
394,9,surprise,oh no nighty night
395,3,happiness,celldweller must have new music i will not sleep until you give us chapter 1 i might die first though hurry
396,10,sadness,my stupid tooooth hurts
397,12,love,neyoofficial love the song quottogetherquot that is quothisquot song for mewell i think it is still is
398,7,neutral,ready to go school
399,10,sadness,turnitgrey my computers broken and i broke my laptop so i had to use the phone ahh still on he cause they fucked up my order
400,7,neutral,richardgable it is good is not it our holiday chalet is out of sight but look v similar to those ones going home again today
401,6,worry,it is a sad economy just heard of another friend losing their job so sad but just a reminder that
402,6,worry,jarekpastor i am just starting to feel really panicky and anxious that something bad has happened cos it seems like it is been ages
403,6,worry,my dog ran awayyy
404,0,hate,allisone84 those suck so bad
405,6,worry,i am back top molar extracted swollen face all numb but no more toothache or sinus pain
406,5,relief,just finished 8 hours of texas life insurance ce tonight 22 more hours to go
407,6,worry,does anyone know any good rap songs i need to make a rapfun cd and i have no idea helllllpppp
408,12,love,i want to go to peru this summer ahhhhhhh hopefully yesyesyes i miss it over there
409,8,empty,exortabreedoll what happen to the maids of yours quit once again
410,10,sadness,i am awake anybody else awake wish i lived in the us since all the fun happens when i am asleep
411,0,hate,at charles with the power out lol damn savemart lost power and we could not buy beer
412,10,sadness,penguinj heehee i love you i am tired
413,6,worry,my mobile phone refuses to charge either the battery is broken or the chargerrr booooo
414,6,worry,kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
415,6,worry,kimberly625 hmmm i thought u were sleeping too bad i can not see those videos until tomorrow night
416,10,sadness,morning everyone sorry for going early last night had bad news felt totally crap today is a new day
417,8,empty,went to the beach and it started raining
418,10,sadness,how i wish my parents put me into a chinese school when i was younger then it will be so much easier for me to get a job
419,5,relief,anthonylucas iainfunnell yeah physically moving too apparently we will be reporting directly to mr hayward
